ID,HospitalName,Address,City,County,State,Zipcode,RatingBelow6,Rating7-8,Rating9-10,Latitude,Longitude
31,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,COFFEE,AL,36330,0.07,0.2,0.73,31.32579,-85.84117
32,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA,BLOUNT,AL,35121,0.06,0.22,0.72,33.944897,-86.45813
33,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,GREENE,AL,35462,0.04,0.31,0.65,32.931143,-87.93837
34,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,TALLAPOOSA,AL,36853,0.05,0.25,0.7,32.787441,-85.79955
35,PARKWAY MEDICAL CENTER,1874 BELTLINE RD SW,DECATUR,MORGAN,AL,35601,0.07,0.21,0.72,34.595332,-86.98786
36,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,HOUSTON,AL,36305,0.06,0.16,0.78,31.214832,-85.47402
37,ST VINCENT'S BIRMINGHAM,810 ST VINCENTS DRIVE,BIRMINGHAM,JEFFERSON,AL,35205,0.06,0.18,0.76,33.497055,-86.8057
38,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,BIBB,AL,35042,0.01,0.23,0.76,32.963486,-87.13867
39,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,LAWRENCE,AL,35650,0.09,0.25,0.66,34.496476,-87.27802
40,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,JACKSON,AL,35768,0.07,0.27,0.66,34.712327,-86.08387
41,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,GENEVA,AL,36340,0.09,0.3,0.61,31.043454,-85.87941
42,RUSSELL HOSPITAL,3316 HIGHWAY 280,ALEXANDER CITY,TALLAPOOSA,AL,35010,0.04,0.17,0.79,32.903432,-85.92669
43,FLORALA MEMORIAL HOSPITAL,24273 FIFTH AVENUE,FLORALA,COVINGTON,AL,36442,0.09,0.16,0.75,31.042071,-86.34347
44,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,BARBOUR,AL,36027,0.07,0.28,0.65,31.876168,-85.17362
45,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,CLAY,AL,36251,0.04,0.18,0.78,33.243964,-85.84503
46,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,ANNISTON,CALHOUN,AL,36207,0.09,0.25,0.66,33.651673,-85.75895
47,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,LIMESTONE,AL,35611,0.08,0.23,0.69,34.784028,-87.02767
48,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,BALDWIN,AL,36535,0.08,0.2,0.72,30.396876,-87.69616
49,DECATUR GENERAL HOSPITAL,1201 7TH STREET SE,DECATUR,MORGAN,AL,35609,0.07,0.22,0.71,34.495365,-86.82993
50,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,MARION,AL,35594,0.05,0.17,0.78,33.925454,-87.78949
51,UNIV OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,MOBILE,AL,36617,0.09,0.21,0.7,30.717539,-88.09609
52,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,WALKER,AL,35502,0.08,0.23,0.69,33.901993,-87.293888
53,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,MOBILE,AL,36608,0.08,0.21,0.71,30.69044,-88.19701
54,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,CLARKE,AL,36451,0.12,0.29,0.59,31.704736,-87.77773
55,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,TUSCALOOSA,AL,35401,0.06,0.2,0.74,33.193818,-87.56843
56,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,HALE,AL,36744,0.09,0.19,0.72,32.703529,-87.60177
57,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,ELMORE,AL,36092,0.05,0.2,0.75,32.592889,-86.21902
58,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,ESCAMBIA,AL,36426,0.06,0.24,0.7,31.129008,-87.10173
59,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,BALDWIN,AL,36532,0.06,0.15,0.79,30.512458,-87.88559
60,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,TALLADEGA,AL,35161,0.11,0.26,0.63,33.420206,-86.102782
61,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,WILCOX,AL,36726,0.08,0.33,0.59,32.008444,-87.25911
62,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,JEFFERSON,AL,35211,0.07,0.19,0.74,33.479306,-86.85878
63,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,BIRMINGHAM,JEFFERSON,AL,35213,0.06,0.17,0.77,33.507637,-86.74161
64,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AUTAUGA,AL,36067,0.06,0.2,0.74,32.488113,-86.52962
65,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON,CARROLLTON,PICKENS,AL,35447,0.12,0.25,0.63,33.254197,-88.16866
66,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,BULLOCK,AL,36089,0.12,0.29,0.59,32.145437,-85.70998
67,BRYAN W WHITFIELD MEM HOSP INC,105 HIGHWAY 80 EAST,DEMOPOLIS,MARENGO,AL,36732,0.11,0.24,0.65,32.495484,-87.84521
68,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,MOBILE,MOBILE,AL,36652,0.07,0.18,0.75,30.658865,-88.177975
70,VAUGHAN REG MED CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,DALLAS,AL,36701,0.12,0.27,0.61,32.429066,-87.03809
72,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E     POST OFFICE BOX 780,HALEYVILLE,WINSTON,AL,35565,0.09,0.28,0.63,34.225425,-87.6118
73,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,PIKE,AL,36081,0.1,0.29,0.61,31.852825,-85.92314
74,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,CLARKE,AL,36545,0.06,0.26,0.68,31.508231,-87.88346
75,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,BALDWIN,AL,36507,0.07,0.19,0.74,30.875697,-87.76592
76,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,SAINT CLAIR,AL,35125,0.06,0.15,0.79,33.606663,-86.28912
77,CRESTWOOD MEDICAL CENTER,1 HOSPITAL DR SE,HUNTSVILLE,MADISON,AL,35801,0.07,0.16,0.77,34.72879,-86.57316
78,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,SUMTER,AL,36925,0.09,0.26,0.65,32.487726,-88.2679
79,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,JEFFERSON,AL,35209,0.08,0.2,0.72,33.468306,-86.80814
80,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,MOBILE,MOBILE,AL,36608,0.08,0.21,0.71,30.69044,-88.19701
81,JACKSONVILLE MEDICAL CENTER,1701 SOUTH PELHAM ROAD,JACKSONVILLE,CALHOUN,AL,36265,0.06,0.17,0.77,33.824496,-85.77037
82,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,CONECUH,AL,36401,0.08,0.21,0.71,31.461019,-86.96271
83,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,MONTGOMERY,AL,36117,0.07,0.18,0.75,32.373714,-86.16443
84,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE,GREENVILLE,BUTLER,AL,36037,0.08,0.23,0.69,31.8007,-86.60591
85,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,COLBERT,AL,35661,0.12,0.21,0.67,34.759947,-87.62705
86,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,FRANKLIN,AL,35653,0.09,0.22,0.69,34.519453,-87.78077
87,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,TALLADEGA,AL,35150,0.07,0.23,0.7,33.185782,-86.25105
88,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,RUSSELL,AL,36867,0.07,0.13,0.8,32.492304,-85.01943
89,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,ESCAMBIA,AL,36502,0.06,0.24,0.7,31.090528,-87.49715
90,WASHINGTON COUNTY HOSPITAL,14600 ST. STEPHENS AVENUE,CHATOM,WASHINGTON,AL,36518,0.05,0.21,0.74,31.463383,-88.26781
91,RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,FRANKLIN,AL,35582,,,,34.448328,-88.12041
93,UNIV OF S AL CHILDREN'S & WOMEN'S HOS,1700 CENTER STREET,MOBILE,MOBILE,AL,36604,,,,30.68164,-88.06676
94,PROVIDENCE ALASKA MEDICAL CENTER,196604 BOX,ANCHORAGE,ANCHORAGE,AK,99519,0.06,0.23,0.71,61.108864,-149.440311
95,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,MATANUSKA SUSITNA,AK,99645,0.08,0.23,0.69,61.598203,-149.04109
96,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,JUNEAU,AK,99801,0.06,0.26,0.68,58.358599,-134.54749
97,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,FAIRBANKS NORTH STAR,AK,99701,0.06,0.23,0.71,64.83507,-147.72045
98,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,ANCHORAGE,AK,99508,0.08,0.25,0.67,61.203953,-149.8144
99,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,BETHEL,AK,99559,0.18,0.28,0.54,60.766603,-161.88006
100,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,KENAI PENINSULA,AK,99669,0.06,0.24,0.7,60.489536,-151.02091
101,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,ANCHORAGE,AK,99508,0.08,0.3,0.62,61.203953,-149.8144
102,MT EDGECUMBE HOSPITAL,222 TONGASS DR,SITKA,SITKA,AK,99835,0.12,0.22,0.66,57.064376,-135.3227
103,PROVIDENCE VALDEZ MEDICAL CENTER,PO BOX 550,VALDEZ,VALDEZ CORDOVA,AK,99686,,,,61.128176,-146.2357
105,SITKA COMMUNITY HOSPITAL,209 MOLLER DRIVE,SITKA,SITKA,AK,99835,,,,57.064376,-135.3227
106,PETERSBURG MEDICAL CENTER,PO BOX 589,PETERSBURG,,AK,99833,,,,56.784206,-132.97354
107,WRANGELL MEDICAL CENTER,310 BENNETT STREET PO BOX 1081,WRANGELL,,AK,99929,,,,56.409507,-132.33822
108,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,KODIAK,KODIAK ISLAND,AK,99615,,,,57.74663,-152.51142
109,CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE,CORDOVA,VALDEZ CORDOVA,AK,99574,,,,60.474512,-145.40256
111,KANAKANAK HOSPITAL,P O BOX 130,DILLINGHAM,DILLINGHAM,AK,99576,,,,59.068709,-158.44407
112,PEACEHEALTH KETCHIKAN MEDICAL CENTER,3100 TONGASS AVENUE,KETCHIKAN,KETCHIKAN GATEWAY,AK,99901,0.06,0.24,0.7,55.368644,-131.6762
113,SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST,HOMER,KENAI PENINSULA,AK,99603,0.05,0.21,0.74,59.665074,-151.4493
114,MARYVALE HOSPITAL,5102 WEST CAMPBELL AVENUE,PHOENIX,MARICOPA,AZ,85031,0.09,0.23,0.68,33.493496,-112.17108
115,BANNER GOOD SAMARITAN MEDICAL CENTER,1111 EAST MCDOWELL ROAD,PHOENIX,MARICOPA,AZ,85006,0.06,0.21,0.73,33.466392,-112.04875
116,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,PIMA,AZ,85712,0.08,0.26,0.66,32.249551,-110.8878
117,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,YAVAPAI,AZ,86326,0.05,0.19,0.76,34.723788,-112.01002
118,CARONDELET ST  MARYS HOSPITAL,1601 WEST ST MARYS ROAD,TUCSON,PIMA,AZ,85745,0.09,0.26,0.65,32.242724,-111.0209
119,CARONDELET ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,PIMA,AZ,85711,0.1,0.21,0.69,32.216326,-110.88511
120,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,YAVAPAI,AZ,86301,0.1,0.27,0.63,34.589477,-112.44726
121,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA,YUMA,AZ,85364,0.09,0.25,0.66,32.704499,-114.64644
122,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,250 EAST DUNLAP AVENUE,PHOENIX,MARICOPA,AZ,85020,0.1,0.23,0.67,33.563663,-112.05519
123,CASA GRANDE REGIONAL MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,CASA GRANDE,PINAL,AZ,85222,0.09,0.28,0.63,32.878138,-111.73499
124,MARICOPA MEDICAL CENTER,2601 EAST ROOSEVELT STREET,PHOENIX,MARICOPA,AZ,85008,0.12,0.26,0.62,33.466393,-112.0008
125,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,COCONINO,AZ,86001,0.07,0.21,0.72,35.279872,-111.72256
126,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,PHOENIX,MARICOPA,AZ,85013,0.07,0.17,0.76,33.50711,-112.08483
127,PHOENIX BAPTIST HOSPITAL,2000 WEST BETHANY HOME ROAD,PHOENIX,MARICOPA,AZ,85015,0.09,0.22,0.69,33.50689,-112.10262
128,PAYSON REGIONAL MEDICAL CENTER,807 SOUTH PONDEROSA DRIVE,PAYSON,GILA,AZ,85541,0.08,0.19,0.73,34.243578,-111.28137
129,CHANDLER REGIONAL MEDICAL CENTER,1955 WEST FRYE ROAD,CHANDLER,MARICOPA,AZ,85224,0.08,0.24,0.68,33.328951,-111.8735
130,ST LUKES MEDICAL CENTER,1800 EAST VAN BUREN STREET,PHOENIX,MARICOPA,AZ,85006,0.1,0.21,0.69,33.466392,-112.04875
131,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,MARICOPA,AZ,85251,0.11,0.19,0.7,33.494152,-111.92079
132,SIERRA VISTA REGIONAL HEALTH CENTER INC,300 EL CAMINO REAL,SIERRA VISTA,COCHISE,AZ,85635,0.11,0.28,0.61,31.562546,-110.24288
134,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,MARICOPA,AZ,85351,0.07,0.22,0.71,33.60642,-112.28316
135,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 SHOW LOW LAKE ROAD,SHOW LOW,NAVAJO,AZ,85901,0.06,0.25,0.69,34.271427,-110.03676
137,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,MESA,MARICOPA,AZ,85202,0.07,0.22,0.71,33.381097,-111.8756
138,LA PAZ REGIONAL HOSPITAL,1200 WEST MOHAVE ROAD,PARKER,LA PAZ,AZ,85344,0.16,0.24,0.6,34.100704,-114.30462
139,MT GRAHAM REGIONAL MEDICAL CENTER,1600  SOUTH 20TH AVENUE,SAFFORD,GRAHAM,AZ,85546,0.05,0.22,0.73,32.800222,-109.69052
140,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,LAKE HAVASU CITY,MOHAVE,AZ,86403,0.14,0.25,0.61,34.483582,-114.33694
141,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,APACHE,AZ,86504,0.14,0.27,0.59,35.771067,-109.17878
142,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,COCONINO,AZ,86045,0.12,0.29,0.59,36.061184,-111.06828
143,SELLS INDIAN HEALTH SERVICE HOSPITAL,PO BOX 548,SELLS,PIMA,AZ,85634,,,,31.998543,-111.93712
144,SAN CARLOS INDIAN HOSPITAL,223 CIBECUE CIRCLE ROAD,SAN CARLOS,GILA,AZ,85550,,,,33.37214,-110.11686
145,PHOENIX INDIAN MEDICAL CENTER,4212 NORTH 16TH STREET,PHOENIX,MARICOPA,AZ,85016,0.13,0.32,0.55,33.503742,-112.03235
146,PARADISE VALLEY HOSPITAL,3929 EAST BELL ROAD,PHOENIX,MARICOPA,AZ,85032,0.09,0.22,0.69,33.62414,-112.00416
148,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,TUCSON,PIMA,AZ,85741,0.08,0.22,0.7,32.338126,-111.04259
149,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,9003 EAST SHEA BOULEVARD,SCOTTSDALE,MARICOPA,AZ,85260,0.08,0.24,0.68,33.606004,-111.88699
150,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,MARICOPA,AZ,85206,0.07,0.21,0.72,33.400306,-111.72452
151,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,GLENDALE,MARICOPA,AZ,85306,0.08,0.2,0.72,33.624546,-112.1767
152,JOHN C LINCOLN DEER VALLEY HOSPITAL,19829 NORTH 27TH AVENUE,PHOENIX,MARICOPA,AZ,85027,0.09,0.24,0.67,33.698731,-112.11429
153,BANNER DEL E WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,MARICOPA,AZ,85375,0.08,0.21,0.71,33.683352,-112.36474
154,ARROWHEAD HOSPITAL,18701 NORTH 67TH AVENUE,GLENDALE,MARICOPA,AZ,85308,0.09,0.23,0.68,33.657722,-112.17825
155,CARONDELET HEART AND VASCULAR INSTITUTE,4888 NORTH STONE AVENUE,TUCSON,PIMA,AZ,85704,0.06,0.13,0.81,32.32764,-110.98801
156,WESTERN ARIZONA REGIONAL MEDICAL CTR,2735 SILVER CREEK ROAD,BULLHEAD CITY,MOHAVE,AZ,86442,0.12,0.24,0.64,35.097719,-114.59734
157,MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,PHOENIX,MARICOPA,AZ,85054,0.05,0.09,0.86,33.689558,-111.96463
158,BANNER HEART HOSPITAL,6750 EAST BAYWOOD AVENUE,MESA,MARICOPA,AZ,85206,0.06,0.16,0.78,33.400306,-111.72452
159,ARIZONA SPINE AND JOINT HOSPITAL,4620 EAST BASELINE ROAD,MESA,MARICOPA,AZ,85206,0.04,0.17,0.79,33.400306,-111.72452
160,SURGICAL SPECIALTY HOSPITAL OF PHOENIX,6501 NORTH 19TH AVENUE,PHOENIX,MARICOPA,AZ,85015,0.05,0.16,0.79,33.50689,-112.10262
163,ARIZONA ORTHOPEDIC SURGICAL HOSPITAL,2905 WEST WARNER ROAD,CHANDLER,MARICOPA,AZ,85225,0.06,0.11,0.83,33.316349,-111.83064
164,WHITERIVER PHS INDIAN HOSPITAL,200 WEST HOSPITAL DRIVE  (PO BOX 860),WHITERIVER,NAVAJO,AZ,85941,,,,33.849439,-110.03334
166,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,MARICOPA,AZ,85037,0.06,0.18,0.76,33.493006,-112.25539
167,VALLEY VIEW MEDICAL CENTER,5330 SOUTH HIGHWAY 95,FORT MOHAVE,MOHAVE,AZ,86426,0.11,0.21,0.68,35.013495,-114.58524
168,YAVAPAI REGIONAL MEDICAL CENTER-EAST,7700 EAST FLORENTINE ROAD,PRESCOTT VALLEY,YAVAPAI,AZ,86314,0.07,0.2,0.73,34.621743,-112.32176
169,MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,GILBERT,MARICOPA,AZ,85296,0.06,0.15,0.79,33.319722,-111.76078
172,BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGLEY ROAD,GILBERT,MARICOPA,AZ,85234,0.06,0.15,0.79,33.36344,-111.75093
173,SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL,7400 EAST THOMPSON PEAK PARKWAY,SCOTTSDALE,MARICOPA,AZ,85255,0.08,0.16,0.76,33.697268,-111.88321
174,ARIZONA REGIONAL MEDICAL CENTER,515 NORTH MESA DRIVE,MESA,MARICOPA,AZ,85201,0.21,0.27,0.52,33.432177,-111.84701
176,OASIS HOSPITAL,750 NORTH 40TH STREET,PHOENIX,MARICOPA,AZ,85008,,,,33.466393,-112.0008
178,WICKENBURG COMMUNITY HOSPITAL,520 ROSE LANE,WICKENBURG,MARICOPA,AZ,85390,,,,33.961122,-112.76952
179,BENSON HOSPITAL,450 SOUTH OCOTILLO STREET,BENSON,COCHISE,AZ,85602,,,,32.010164,-110.3182
180,NORTHERN COCHISE COMMUNITY HOSPITAL,901 WEST REX ALLEN DRIVE,WILLCOX,COCHISE,AZ,85643,0.04,0.2,0.76,32.356537,-109.88461
181,SOUTHEAST ARIZONA MEDICAL CENTER,2174 WEST OAK AVENUE,DOUGLAS,COCHISE,AZ,85607,,,,31.382775,-109.55035
182,PAGE HOSPITAL,501 NORTH NAVAJO DRIVE,PAGE,COCONINO,AZ,86040,0.08,0.29,0.63,36.726377,-111.4284
184,SAGE MEMORIAL HOSPITAL,STATE ROUTE 264 SOUTH 191 PO BOX 457,GANADO,APACHE,AZ,86505,,,,35.665344,-109.65344
185,LITTLE COLORADO MEDICAL CENTER,1501 NORTH WILLIAMSON AVENUE,WINSLOW,NAVAJO,AZ,86047,,,,35.258309,-110.53128
186,COPPER QUEEN COMMUNITY HOSPITAL,101 COLE AVENUE,BISBEE,COCHISE,AZ,85603,0.1,0.36,0.54,31.406229,-109.8958
